iter	Accuracy	Logloss
0	0.8670674683	0.6414992832
1	0.8623914496	0.6046271806
2	0.8643954576	0.567761139
3	0.878757515	0.5333352466
4	0.8800935204	0.5039228269
5	0.8894455578	0.4764544996
6	0.8911155645	0.4483652023
7	0.9151636607	0.4225109537
8	0.9118236473	0.4050454782
9	0.9084836339	0.3902915101
10	0.9088176353	0.3753664266
11	0.9131596526	0.362835773
12	0.9168336673	0.3486966046
13	0.9161656647	0.3391733692
14	0.9171676687	0.3296133871
15	0.9201736807	0.3194559161
16	0.9238476954	0.310290848
17	0.9265197061	0.3012346349
18	0.9321977288	0.292998044
19	0.9362057448	0.285422313
20	0.9298597194	0.2788817498
21	0.9331997328	0.2714786123
22	0.9372077488	0.2655350916
23	0.9398797595	0.2592831061
24	0.9408817635	0.2535774737
25	0.9385437542	0.248175917
26	0.9438877756	0.2412668442
27	0.9462257849	0.236753221
28	0.9515698063	0.2315114918
29	0.9559118236	0.2269262667
30	0.954241817	0.2230297268
31	0.9589178357	0.2186981865
32	0.9585838343	0.2153558629
33	0.9615898464	0.2114560626
34	0.9629258517	0.2075207571
35	0.9649298597	0.2032262436
36	0.9665998664	0.2008796102
37	0.9669338677	0.1980409729
38	0.9672678691	0.1950786661
39	0.9679358717	0.1920200022
40	0.9686038744	0.1894839518
41	0.9702738811	0.1864797129
42	0.9692718771	0.1847738374
43	0.9699398798	0.1819750114
44	0.9696058784	0.179721304
45	0.9692718771	0.1779881203
46	0.9686038744	0.1764809819
47	0.9699398798	0.1736346637
48	0.9716098864	0.1705282383
49	0.9726118904	0.1685121176
50	0.9736138945	0.1660886656
51	0.9749498998	0.1642207415
52	0.9766199065	0.1619715125
53	0.9759519038	0.1606397641
54	0.9766199065	0.1582858904
55	0.9762859051	0.1560766439
56	0.9779559118	0.1538874991
57	0.9779559118	0.1517970483
58	0.9786239145	0.1497944183
59	0.9786239145	0.1481137328
60	0.9782899132	0.147170894
61	0.9776219105	0.1459092659
62	0.9776219105	0.144811531
63	0.9796259185	0.1434472981
64	0.9789579158	0.1420598363
65	0.9799599198	0.1401296899
66	0.9799599198	0.1388156911
67	0.9806279225	0.1371048504
68	0.9816299265	0.1356727629
69	0.9819639279	0.133709671
70	0.9826319305	0.1323200834
71	0.9819639279	0.1315956463
72	0.9826319305	0.1294590157
73	0.9826319305	0.1285369634
74	0.9836339345	0.1273043173
75	0.9829659319	0.1265300646
76	0.9832999332	0.1253924523
77	0.9836339345	0.1247237408
78	0.9832999332	0.1241042094
79	0.9836339345	0.1231708168
80	0.9853039412	0.1218223523
81	0.9856379426	0.1204967577
82	0.9863059452	0.1197614752
83	0.9859719439	0.1183413777
84	0.9866399466	0.116601198
85	0.9866399466	0.1159313279
86	0.9869739479	0.114690573
87	0.9873079492	0.1138193295
88	0.9876419506	0.1126563071
89	0.9876419506	0.1117346241
90	0.9876419506	0.1105977629
91	0.9883099532	0.1095381112
92	0.9883099532	0.1084317487
93	0.9879759519	0.1077810281
94	0.9879759519	0.1069978804
95	0.9883099532	0.1062015137
96	0.9879759519	0.1050741473
97	0.9883099532	0.1043636111
98	0.9883099532	0.1037661203
99	0.9883099532	0.1028773762
100	0.9886439546	0.1022015321
101	0.9886439546	0.1010506299
102	0.9893119572	0.100381931
103	0.9893119572	0.09916370128
104	0.9903139613	0.09836579772
105	0.9906479626	0.09787233776
106	0.9906479626	0.09714675338
