iter	Passed	Remaining
0	3	3144
1	6	3031
2	9	3005
3	11	2975
4	14	2938
5	17	2945
6	20	2914
7	23	2907
8	26	2875
9	28	2853
10	31	2822
11	34	2806
12	36	2782
13	39	2763
14	41	2742
15	44	2730
16	46	2713
17	49	2708
18	52	2703
19	55	2700
20	57	2697
21	60	2690
22	63	2686
23	65	2676
24	68	2663
25	70	2648
26	73	2635
27	75	2626
28	77	2610
29	80	2596
30	82	2586
31	85	2578
32	87	2576
33	90	2569
34	92	2557
35	95	2550
36	97	2543
37	100	2535
38	103	2538
39	105	2537
40	108	2539
41	111	2543
42	114	2545
43	117	2543
44	119	2539
45	122	2534
46	124	2528
47	127	2524
48	129	2517
49	132	2511
50	134	2506
51	137	2499
52	139	2493
53	142	2489
54	144	2481
55	147	2478
56	149	2474
57	151	2468
58	154	2462
59	157	2461
60	159	2452
61	161	2447
62	164	2441
63	166	2437
64	169	2434
65	171	2432
66	174	2429
67	176	2424
68	179	2417
69	181	2413
70	184	2410
71	186	2404
72	188	2398
73	191	2390
74	193	2389
75	196	2386
76	198	2383
77	201	2381
78	204	2386
79	208	2396
80	211	2394
81	213	2394
82	216	2392
83	218	2387
84	221	2384
85	223	2380
86	226	2376
87	228	2373
88	231	2370
89	233	2365
90	236	2361
91	238	2357
92	241	2353
93	243	2349
94	246	2345
95	248	2339
96	250	2333
97	252	2328
98	255	2323
99	257	2317
100	259	2311
101	262	2310
102	264	2306
103	267	2302
104	269	2297
105	271	2293
106	274	2288
107	276	2283
108	278	2278
109	280	2273
110	283	2268
111	285	2263
112	287	2259
113	290	2254
114	292	2250
115	294	2246
116	297	2242
117	299	2238
118	301	2234
119	304	2230
120	306	2226
121	308	2222
122	310	2211
123	312	2206
124	314	2201
125	316	2198
126	319	2194
127	321	2191
128	323	2186
129	326	2182
130	328	2179
131	330	2175
132	333	2172
133	335	2167
134	337	2163
135	339	2159
136	342	2155
137	344	2151
138	346	2148
139	349	2144
140	351	2140
141	353	2136
142	355	2132
143	358	2128
144	360	2125
145	362	2121
146	364	2117
147	367	2113
148	369	2109
149	371	2105
150	373	2101
151	376	2098
152	378	2095
153	380	2091
154	382	2087
155	385	2084
156	387	2080
157	389	2077
158	392	2073
159	394	2069
160	396	2066
161	398	2063
162	401	2059
163	403	2056
164	405	2052
165	407	2048
166	410	2045
167	412	2041
168	414	2038
169	416	2035
170	419	2032
171	421	2029
172	423	2026
173	426	2022
174	428	2019
175	430	2017
176	433	2014
177	435	2010
178	437	2007
179	440	2005
180	442	2001
181	444	1998
182	446	1995
183	449	1992
184	451	1988
185	453	1985
186	456	1985
187	459	1982
188	461	1980
189	464	1978
190	466	1977
191	469	1976
192	472	1974
193	474	1971
194	476	1968
195	479	1966
196	482	1964
197	484	1962
198	487	1960
199	489	1958
200	492	1956
201	494	1954
202	497	1952
203	499	1949
204	501	1946
205	504	1944
206	506	1941
207	509	1939
208	511	1936
209	514	1934
210	516	1932
211	519	1929
212	521	1928
213	524	1925
214	526	1923
215	529	1921
216	531	1919
217	534	1917
218	537	1915
219	539	1912
220	541	1909
221	544	1907
222	546	1904
223	548	1901
224	551	1898
225	553	1896
226	556	1893
227	558	1890
228	560	1887
229	563	1885
230	565	1882
231	567	1879
232	570	1876
233	572	1873
234	574	1870
235	576	1867
236	579	1864
237	581	1861
238	583	1858
239	586	1855
240	588	1853
241	590	1850
242	592	1846
243	595	1844
244	597	1841
245	599	1838
246	602	1835
247	604	1832
248	606	1829
249	608	1826
250	611	1823
251	613	1820
252	615	1817
253	617	1814
254	620	1811
255	622	1808
256	624	1805
257	626	1803
258	629	1800
259	631	1797
260	633	1794
261	636	1791
262	638	1788
263	640	1785
264	642	1783
265	645	1780
266	647	1777
267	649	1774
268	651	1771
269	654	1768
270	656	1765
271	658	1762
272	660	1759
273	663	1756
274	665	1753
275	667	1750
276	669	1747
277	671	1744
278	673	1741
279	676	1739
280	678	1736
281	680	1733
282	683	1731
283	685	1728
284	687	1725
285	690	1723
286	692	1720
287	695	1718
288	697	1715
289	700	1713
290	702	1711
291	704	1709
292	707	1707
293	709	1704
294	712	1702
295	714	1699
296	716	1697
297	719	1695
298	722	1693
299	724	1691
300	727	1689
301	730	1687
302	732	1685
303	734	1682
304	737	1680
305	739	1677
306	742	1675
307	744	1673
308	747	1670
309	749	1667
310	751	1664
311	753	1662
312	756	1659
313	758	1656
314	760	1654
315	763	1651
316	765	1648
317	767	1646
318	769	1643
319	771	1640
320	774	1637
321	776	1634
322	778	1631
323	780	1629
324	783	1626
325	785	1623
326	787	1621
327	789	1618
328	792	1615
329	794	1613
330	796	1610
331	799	1607
332	801	1604
333	803	1602
334	805	1599
335	808	1597
336	810	1594
337	812	1592
338	815	1589
339	817	1586
340	819	1583
341	821	1581
342	823	1578
343	826	1575
344	828	1573
345	831	1570
346	833	1568
347	835	1565
348	837	1562
349	840	1560
350	842	1557
351	844	1555
352	847	1552
353	849	1550
354	851	1547
355	854	1544
356	856	1542
357	858	1539
358	860	1537
359	863	1534
360	865	1531
361	867	1528
362	869	1526
363	872	1524
364	874	1521
365	876	1518
366	879	1516
367	881	1513
368	883	1511
369	885	1508
370	888	1505
371	890	1503
372	892	1500
373	894	1497
374	897	1495
375	899	1492
376	901	1490
377	903	1487
378	906	1484
379	908	1482
380	910	1479
381	912	1476
382	915	1474
383	917	1471
384	919	1469
385	922	1466
386	925	1465
387	927	1463
388	930	1461
389	932	1458
390	935	1456
391	937	1454
392	940	1452
393	942	1450
394	945	1447
395	947	1445
396	950	1443
397	952	1441
398	955	1438
399	957	1436
400	959	1433
401	962	1431
402	964	1429
403	967	1427
404	970	1425
405	972	1423
406	975	1420
407	977	1418
408	979	1416
409	982	1413
410	984	1411
411	987	1409
412	989	1406
413	992	1404
414	994	1402
415	997	1399
416	999	1397
417	1001	1395
418	1004	1392
419	1006	1390
420	1009	1388
421	1012	1386
422	1015	1384
423	1017	1382
424	1019	1379
425	1022	1377
426	1024	1375
427	1027	1373
428	1030	1370
429	1032	1368
430	1035	1366
431	1037	1364
432	1039	1361
433	1042	1359
434	1045	1357
435	1047	1355
436	1050	1353
437	1053	1351
438	1055	1348
439	1058	1346
440	1060	1344
441	1063	1342
442	1066	1340
443	1068	1338
444	1071	1336
445	1074	1334
446	1076	1331
447	1079	1329
448	1081	1327
449	1084	1325
450	1086	1322
451	1089	1320
452	1091	1318
453	1094	1316
454	1096	1313
455	1099	1311
456	1101	1309
457	1104	1307
458	1107	1305
459	1110	1303
460	1112	1300
461	1115	1298
462	1117	1296
463	1120	1294
464	1122	1291
465	1125	1289
466	1128	1287
467	1130	1285
468	1133	1282
469	1135	1280
470	1138	1278
471	1140	1275
472	1142	1273
473	1145	1271
474	1148	1268
475	1150	1266
476	1152	1264
477	1155	1261
478	1158	1259
479	1161	1258
480	1163	1255
481	1166	1253
482	1168	1251
483	1171	1248
484	1173	1246
485	1176	1244
486	1179	1242
487	1181	1240
488	1184	1237
489	1186	1235
490	1189	1232
491	1191	1230
492	1194	1228
493	1197	1226
494	1199	1223
495	1201	1221
496	1204	1218
497	1207	1216
498	1209	1214
499	1212	1212
500	1214	1210
501	1217	1207
502	1220	1205
503	1222	1203
504	1225	1200
505	1227	1198
506	1230	1196
507	1232	1193
508	1235	1191
509	1238	1189
510	1240	1187
511	1243	1184
512	1245	1182
513	1248	1180
514	1250	1177
515	1253	1175
516	1255	1173
517	1258	1171
518	1261	1168
519	1263	1166
520	1265	1163
521	1268	1161
522	1271	1159
523	1274	1157
524	1276	1155
525	1279	1152
526	1281	1150
527	1283	1147
528	1287	1146
529	1290	1144
530	1293	1142
531	1295	1139
532	1298	1137
533	1300	1135
534	1303	1132
535	1306	1130
536	1308	1128
537	1311	1126
538	1313	1123
539	1316	1121
540	1319	1119
541	1321	1117
542	1324	1114
543	1326	1112
544	1329	1109
545	1331	1107
546	1334	1105
547	1337	1103
548	1340	1101
549	1342	1098
550	1345	1096
551	1347	1093
552	1350	1091
553	1353	1089
554	1356	1087
555	1358	1085
556	1361	1082
557	1363	1080
558	1366	1078
559	1369	1076
560	1372	1073
561	1374	1071
562	1377	1068
563	1379	1066
564	1382	1064
565	1385	1062
566	1388	1060
567	1390	1057
568	1392	1055
569	1395	1052
570	1397	1050
571	1400	1048
572	1403	1045
573	1405	1043
574	1408	1040
575	1411	1038
576	1413	1036
577	1416	1034
578	1419	1031
579	1422	1029
580	1424	1027
581	1427	1024
582	1429	1022
583	1432	1020
584	1434	1017
585	1437	1015
586	1439	1013
587	1442	1010
588	1444	1008
589	1447	1005
590	1450	1003
591	1452	1001
592	1455	998
593	1457	996
594	1460	993
595	1462	991
596	1465	989
597	1468	986
598	1470	984
599	1473	982
600	1475	979
601	1478	977
602	1481	975
603	1484	973
604	1486	970
605	1489	968
606	1491	965
607	1494	963
608	1496	960
609	1499	958
610	1501	956
611	1504	953
612	1506	951
613	1509	949
614	1512	946
615	1515	944
616	1517	942
617	1520	939
618	1522	937
619	1525	934
620	1527	932
621	1530	929
622	1532	927
623	1535	925
624	1537	922
625	1540	920
626	1542	917
627	1545	915
628	1548	913
629	1550	910
630	1552	908
631	1555	905
632	1557	903
633	1560	900
634	1563	898
635	1565	896
636	1568	893
637	1570	891
638	1572	888
639	1575	886
640	1578	883
641	1580	881
642	1583	879
643	1585	876
644	1588	874
645	1590	871
646	1593	869
647	1595	866
648	1598	864
649	1600	861
650	1603	859
651	1605	856
652	1607	854
653	1610	851
654	1612	849
655	1614	846
656	1617	844
657	1619	841
658	1621	839
659	1624	836
660	1626	834
661	1629	831
662	1631	829
663	1633	826
664	1636	824
665	1638	821
666	1640	819
667	1643	816
668	1645	814
669	1647	811
670	1650	809
671	1652	806
672	1654	804
673	1656	801
674	1659	798
675	1661	796
676	1663	793
677	1666	791
678	1668	788
679	1671	786
680	1673	784
681	1676	781
682	1678	779
683	1681	776
684	1683	774
685	1685	771
686	1688	769
687	1690	766
688	1693	764
689	1695	761
690	1698	759
691	1700	756
692	1702	754
693	1705	751
694	1707	749
695	1710	747
696	1712	744
697	1715	742
698	1717	739
699	1720	737
700	1722	734
701	1725	732
702	1727	730
703	1730	727
704	1732	724
705	1735	722
706	1738	720
707	1740	717
708	1743	715
709	1745	712
710	1747	710
711	1750	707
712	1752	705
713	1754	702
714	1757	700
715	1759	697
716	1761	695
717	1764	692
718	1766	690
719	1768	687
720	1770	685
721	1773	682
722	1775	680
723	1777	677
724	1780	675
725	1782	672
726	1785	670
727	1787	667
728	1789	665
729	1792	662
730	1794	660
731	1797	657
732	1799	655
733	1801	652
734	1804	650
735	1806	647
736	1808	645
737	1810	642
738	1813	640
739	1815	637
740	1817	635
741	1820	632
742	1822	630
743	1824	627
744	1826	625
745	1829	622
746	1831	620
747	1834	617
748	1836	615
749	1839	613
750	1841	610
751	1844	608
752	1846	605
753	1849	603
754	1852	601
755	1854	598
756	1857	596
757	1859	593
758	1862	591
759	1864	588
760	1867	586
761	1870	584
762	1872	581
763	1875	579
764	1878	576
765	1880	574
766	1883	572
767	1885	569
768	1888	567
769	1891	564
770	1893	562
771	1896	560
772	1898	557
773	1901	555
774	1904	552
775	1906	550
776	1909	547
777	1911	545
778	1913	542
779	1916	540
780	1920	538
781	1923	536
782	1925	533
783	1928	531
784	1930	528
785	1933	526
786	1936	524
787	1938	521
788	1941	519
789	1943	516
790	1946	514
791	1949	511
792	1951	509
793	1954	507
794	1956	504
795	1959	502
796	1962	499
797	1965	497
798	1969	495
799	1971	492
800	1975	490
801	1979	488
802	1982	486
803	1985	483
804	1987	481
805	1989	478
806	1992	476
807	1995	474
808	1997	471
809	2000	469
810	2002	466
811	2005	464
812	2007	461
813	2010	459
814	2013	456
815	2015	454
816	2017	451
817	2020	449
818	2022	447
819	2025	444
820	2027	442
821	2030	439
822	2032	437
823	2035	434
824	2037	432
825	2039	429
826	2041	427
827	2044	424
828	2047	422
829	2049	419
830	2051	417
831	2054	414
832	2056	412
833	2059	409
834	2062	407
835	2064	405
836	2067	402
837	2069	400
838	2072	397
839	2074	395
840	2077	392
841	2079	390
842	2082	387
843	2084	385
844	2086	382
845	2089	380
846	2091	377
847	2094	375
848	2096	372
849	2098	370
850	2100	367
851	2103	365
852	2105	362
853	2108	360
854	2111	358
855	2113	355
856	2116	353
857	2118	350
858	2121	348
859	2123	345
860	2126	343
861	2129	340
862	2131	338
863	2133	335
864	2135	333
865	2138	330
866	2141	328
867	2143	325
868	2146	323
869	2148	321
870	2150	318
871	2153	316
872	2155	313
873	2158	311
874	2160	308
875	2163	306
876	2165	303
877	2167	301
878	2170	298
879	2173	296
880	2175	293
881	2177	291
882	2179	288
883	2181	286
884	2184	283
885	2186	281
886	2188	278
887	2191	276
888	2193	273
889	2195	271
890	2198	268
891	2200	266
892	2203	264
893	2206	261
894	2208	259
895	2210	256
896	2213	254
897	2215	251
898	2217	249
899	2220	246
900	2222	244
901	2225	241
902	2227	239
903	2229	236
904	2232	234
905	2234	231
906	2236	229
907	2239	226
908	2242	224
909	2244	221
910	2247	219
911	2249	217
912	2251	214
913	2254	212
914	2256	209
915	2259	207
916	2261	204
917	2264	202
918	2266	199
919	2269	197
920	2271	194
921	2274	192
922	2277	189
923	2279	187
924	2281	185
925	2284	182
926	2286	180
927	2291	177
928	2295	175
929	2300	173
930	2308	171
931	2312	168
932	2316	166
933	2319	163
934	2323	161
935	2326	159
936	2329	156
937	2332	154
938	2336	151
939	2339	149
940	2343	146
941	2346	144
942	2350	142
943	2353	139
944	2356	137
945	2359	134
946	2362	132
947	2365	129
948	2368	127
949	2371	124
950	2374	122
951	2377	119
952	2380	117
953	2382	114
954	2386	112
955	2389	109
956	2391	107
957	2393	104
958	2396	102
959	2399	99
960	2401	97
961	2403	94
962	2405	92
963	2408	89
964	2410	87
965	2413	84
966	2415	82
967	2417	79
968	2420	77
969	2422	74
970	2424	72
971	2427	69
972	2429	67
973	2432	64
974	2434	62
975	2437	59
976	2440	57
977	2442	54
978	2445	52
979	2447	49
980	2450	47
981	2452	44
982	2454	42
983	2456	39
984	2459	37
985	2461	34
986	2464	32
987	2466	29
988	2468	27
989	2470	24
990	2473	22
991	2475	19
992	2477	17
993	2480	14
994	2482	12
995	2484	9
996	2487	7
997	2489	4
998	2492	2
999	2494	0
